Ref,Val,Package,PosX,PosY,Rot,Side
"A1","Arduino_Due_Shield","Arduino_Due_Shield",53.213000,-144.780000,0.000000,top
"J2","5015","FP-5015-MFG",132.080000,-83.820000,0.000000,top
"J4","1-1337445-0","FP-1-1337445-0-MFG",167.640000,-88.900000,0.000000,top
"J5","24.243.1","FP-24_243_1-MFG",165.017957,-51.035304,-90.000000,top
"J6","1-1337445-0","FP-1-1337445-0-MFG",167.640000,-111.760010,0.000000,top
"J7","1-1337445-0","FP-1-1337445-0-MFG",167.640000,-134.620010,0.000000,top
"J8","24.243.1","FP-24_243_1-MFG",114.000030,-51.063323,-90.000000,top
"J9","24.243.1","FP-24_243_1-MFG",65.997253,-50.970894,-90.000000,top
"U1","OPA452TA-1","KVT0007A",111.125000,-74.930010,0.000000,top
"U2","MCP4921-E/P","PDIP300-P8",99.060000,-125.730000,-90.000000,top
"U3","MCP4131-103E_P","MCP4131",95.250000,-110.490000,-90.000000,top
