Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
A1,Arduino_Due_Shield,Arduino_Due_Shield,103.173,-118.11,0.0,top
C1,C3216JB1A106M160AA,FP-C3216-160-0_2-IPC_C,142.24,-70.11611,270.0,bottom
C2,C3216JB1A106M160AA,FP-C3216-160-0_2-IPC_C,149.86,-70.11611,270.0,bottom
C3,CAP 100pF 100V 1206(3216),CAPC1206(3216)100_N,165.1,-70.079995,90.0,bottom
C4,CAP 100pF 100V 1206(3216),CAPC1206(3216)100_N,157.48,-70.079995,90.0,bottom
C5,CAP 100pF 100V 1206(3216),CAPC1206(3216)100_N,66.04,-70.079995,90.0,bottom
C6,CAP 100pF 100V 1206(3216),CAPC1206(3216)100_N,73.66,-70.079995,90.0,bottom
C7,C3216JB1A106M160AA,FP-C3216-160-0_2-IPC_C,81.28,-71.12003,270.0,bottom
C8,C3216JB1A106M160AA,FP-C3216-160-0_2-IPC_C,88.9,-71.12003,270.0,bottom
J1,5015,FP-5015-MFG,99.059315,-86.36,0.0,bottom
J2,5015,FP-5015-MFG,132.080685,-83.82,0.0,top
J4,1-1337445-0,FP-1-1337445-0-MFG,167.315005,-88.89999,0.0,top
J5,24.243.1,FP-24_243_1-MFG,165.017927,-51.035304,-90.0,top
J6,1-1337445-0,FP-1-1337445-0-MFG,167.315005,-111.76,0.0,top
J7,1-1337445-0,FP-1-1337445-0-MFG,167.315005,-134.62,0.0,top
J8,24.243.1,FP-24_243_1-MFG,114.0,-51.063323,-90.0,top
J9,24.243.1,FP-24_243_1-MFG,65.997223,-50.970894,-90.0,top
R1,KTR18EZPJ102,FP-KTR18-IPC_A,125.498755,-66.03998,180.0,bottom
R2,KTR18EZPJ102,FP-KTR18-IPC_A,112.798755,-66.03998,180.0,bottom
U1,OPA452TA-1,KVT0007A,113.07,-74.930025,0.0,top
U2,MCP4921-E/P,PDIP300-P8,99.23999,-125.73,-90.0,top
U3,MCP4131-103E_P,MCP4131,99.06,-106.68,-90.0,top
