Designator,Mid X,Mid Y,Rotation,Layer
A1,53.213,-144.78,0.0,top
C1,142.24,-70.11608,270.0,bottom
C2,149.86,-70.11608,270.0,bottom
C3,165.1,-70.08002,90.0,bottom
C4,157.48,-70.08002,90.0,bottom
C5,66.04,-70.08002,90.0,bottom
C6,73.66,-70.08002,90.0,bottom
C7,81.28,-71.12,270.0,bottom
C8,88.9,-71.12,270.0,bottom
J1,99.06,-86.36,0.0,bottom
J2,132.08,-83.82,0.0,top
J4,167.64,-88.9,0.0,top
J5,165.017957,-51.035304,270.0,top
J6,167.64,-111.76001,0.0,top
J7,167.64,-134.62001,0.0,top
J8,114.00003,-51.063323,270.0,top
J9,65.997253,-50.970894,270.0,top
R1,125.49876,-66.04,180.0,bottom
R2,112.79876,-66.04,180.0,bottom
U1,111.125,-74.93001,0.0,top
U2,99.06,-125.73,270.0,top
U3,95.25,-110.49,270.0,top
